GenusID,GenusName,TP,TN,FP,FN,Gof,AccAS1a,AccAS1b,AccAS1c,AccAS2a,AccAS2b,AccAS2c,AccAS3a,AccAS3b,AccAS3c,GofAS1a,GofAS1b,GofAS1c,GofAS2a,GofAS2b,GofAS2c,GofAS3a,GofAS3b,GofAS3c
36,Melampophylax,0.05,0.483333333333333,0.416666666666667,0.05,0.983606557377049,0.516666666666667,0.516666666666667,0.566666666666667,0.5,0.516666666666667,0.533333333333333,0.633333333333333,0.516666666666667,0.6,0.983606557377049,0.983606557377049,0.950819672131147,0.901639344262295,0.934426229508197,0.967213114754098,0.836065573770492,0.901639344262295,0.819672131147541
37,Hydroptila,0.05,0.766666666666667,0.116666666666667,0.0666666666666667,1,0.85,0.766666666666667,0.85,0.783333333333333,0.816666666666667,0.85,0.716666666666667,0.85,0.8,0.934426229508197,0.950819672131147,0.967213114754098,0.934426229508197,0.934426229508197,0.983606557377049,0.967213114754098,0.918032786885246,0.885245901639344
38,Chloroperla,0.0666666666666667,0.8,0.0333333333333333,0.1,0.950819672131147,0.85,0.85,0.85,0.85,0.816666666666667,0.816666666666667,0.733333333333333,0.866666666666667,0.8,0.950819672131147,0.934426229508197,0.934426229508197,0.885245901639344,0.934426229508197,0.950819672131147,0.950819672131147,0.934426229508197,0.901639344262295
39,Hydropsyche,0.2,0.366666666666667,0.316666666666667,0.116666666666667,0.918032786885246,0.583333333333333,0.566666666666667,0.55,0.483333333333333,0.516666666666667,0.566666666666667,0.5,0.616666666666667,0.6,0.901639344262295,0.852459016393443,0.885245901639344,0.868852459016393,0.885245901639344,0.901639344262295,0.80327868852459,0.704918032786885,0.737704918032787
40,Perla,0.0333333333333333,0.816666666666667,0.0166666666666667,0.133333333333333,0.983606557377049,0.85,0.866666666666667,0.866666666666667,0.833333333333333,0.816666666666667,0.8,0.866666666666667,0.816666666666667,0.8,1,1,0.967213114754098,0.950819672131147,0.983606557377049,0.967213114754098,0.967213114754098,0.950819672131147,0.967213114754098
41,Dinocras,0.116666666666667,0.716666666666667,0.0333333333333333,0.133333333333333,1,0.816666666666667,0.733333333333333,0.783333333333333,0.783333333333333,0.75,0.816666666666667,0.766666666666667,0.733333333333333,0.7,0.983606557377049,1,0.934426229508197,0.967213114754098,0.934426229508197,0.950819672131147,0.967213114754098,0.918032786885246,0.868852459016393
42,Perlodes,0.0333333333333333,0.75,0.0666666666666667,0.15,1,0.783333333333333,0.75,0.75,0.783333333333333,0.8,0.7,0.8,0.666666666666667,0.8,0.950819672131147,1,0.983606557377049,0.983606557377049,0.950819672131147,0.983606557377049,0.950819672131147,0.967213114754098,0.934426229508197
43,Leuctra,0.733333333333333,0.0666666666666667,0.0333333333333333,0.166666666666667,0.983606557377049,0.633333333333333,0.716666666666667,0.75,0.583333333333333,0.783333333333333,0.816666666666667,0.6,0.5,0.85,0.950819672131147,0.950819672131147,0.918032786885246,0.950819672131147,0.967213114754098,0.934426229508197,0.885245901639344,0.934426229508197,0.852459016393443
44,Takobia,0.316666666666667,0.383333333333333,0.0833333333333333,0.216666666666667,0.967213114754098,0.6,0.666666666666667,0.7,0.666666666666667,0.666666666666667,0.616666666666667,0.6,0.516666666666667,0.5,0.967213114754098,0.967213114754098,0.885245901639344,0.918032786885246,0.901639344262295,0.852459016393443,0.80327868852459,0.836065573770492,0.770491803278688
45,Rhyacophila,0.45,0.1,0.233333333333333,0.216666666666667,0.901639344262295,0.533333333333333,0.583333333333333,0.55,0.45,0.5,0.55,0.466666666666667,0.383333333333333,0.583333333333333,0.901639344262295,0.901639344262295,0.918032786885246,0.918032786885246,0.918032786885246,0.836065573770492,0.836065573770492,0.704918032786885,0.819672131147541
46,Isoperla,0.116666666666667,0.5,0.0833333333333333,0.3,1,0.566666666666667,0.616666666666667,0.616666666666667,0.616666666666667,0.633333333333333,0.633333333333333,0.6,0.566666666666667,0.616666666666667,0.967213114754098,0.983606557377049,0.918032786885246,0.934426229508197,0.950819672131147,0.885245901639344,0.950819672131147,0.868852459016393,0.967213114754098
47,Baetis,0.666666666666667,0,0,0.333333333333333,0.934426229508197,0.466666666666667,0.683333333333333,0.783333333333333,0.716666666666667,0.75,0.533333333333333,0.383333333333333,0.433333333333333,0.383333333333333,0.901639344262295,0.918032786885246,0.868852459016393,0.868852459016393,0.852459016393443,0.901639344262295,0.80327868852459,0.688524590163934,0.754098360655738
48,Ecdyonurus,0.5,0.166666666666667,0,0.333333333333333,0.967213114754098,0.5,0.533333333333333,0.583333333333333,0.483333333333333,0.7,0.466666666666667,0.6,0.366666666666667,0.483333333333333,0.901639344262295,0.950819672131147,0.918032786885246,0.901639344262295,0.950819672131147,0.852459016393443,0.901639344262295,0.786885245901639,0.918032786885246
49,Caenis,0.1,0.533333333333333,0.0333333333333333,0.333333333333333,0.983606557377049,0.8,0.65,0.616666666666667,0.766666666666667,0.65,0.666666666666667,0.7,0.616666666666667,0.766666666666667,0.950819672131147,0.901639344262295,0.950819672131147,0.934426229508197,0.950819672131147,0.918032786885246,0.852459016393443,0.836065573770492,0.901639344262295
50,Protonemura,0.133333333333333,0.433333333333333,0,0.433333333333333,1,0.6,0.533333333333333,0.516666666666667,0.45,0.633333333333333,0.516666666666667,0.466666666666667,0.45,0.433333333333333,0.967213114754098,0.967213114754098,0.950819672131147,0.901639344262295,1,0.885245901639344,0.901639344262295,0.819672131147541,0.934426229508197
